,id_student,id_course,average,bac_average,status
0,14011097203,ALG1,15.98,13.34,Admis/Session1
1,14011097264,ALG1,5.66,13.42,Admis/Session2
2,14011097544,ALG1,5.06,13.71,Admis/Dettes
3,14011197876,ALG1,7.03,13.6,Admis/Session1
4,14011197877,ALG1,9.36,13.28,Admis/Session1
5,14011197918,ALG1,9.71,13.81,Admis/Session1
6,14011197922,ALG1,12.02,13.39,Admis/Session1
7,14011197939,ALG1,5.05,13.85,Admis/Session1
8,14011197965,ALG1,8.42,13.71,Admis/Dettes
9,14011197979,ALG1,7.38,13.95,Admis/Session1
10,14011198067,ALG1,10.19,13.89,Admis/Session1
11,14011198153,ALG1,6.7,13.43,Admis/Dettes
12,14011198176,ALG1,8.08,13.62,Admis/Session1
13,14011198194,ALG1,4.73,13.08,Ajourné
14,14011198217,ALG1,6.7,13.54,Ajourné
15,14011198242,ALG1,10.22,13.25,Admis/Session1
16,14011198256,ALG1,9.72,13.96,Admis/Session1
17,14011198259,ALG1,8.85,13.64,Ajourné
18,14011198260,ALG1,9.36,13.3,Admis/Session1
19,14011198335,ALG1,6.87,13.66,Ajourné
20,14011198357,ALG1,10.34,13.4,Admis/Session2
21,14011198386,ALG1,8.04,13.37,Admis/Session1
22,14011198409,ALG1,7.87,13.71,Admis/Session2
23,14011198412,ALG1,8.72,13.38,Admis/Session1
24,14011198427,ALG1,5.23,13.07,Admis/Dettes
25,14011198435,ALG1,6.7,13.54,Admis/Session1
26,14011198436,ALG1,0.66,13.57,Ajourné
27,14011198438,ALG1,5.06,13.33,Admis/Dettes
28,14011198458,ALG1,9.86,13.55,Admis/Session1
29,14011198465,ALG1,6.55,13.17,Admis/Session1
30,14011198467,ALG1,8.04,13.52,Admis/Dettes
31,14011198475,ALG1,6.23,13.04,Admis/Session1
32,14011198476,ALG1,9.85,13.8,Admis/Session1
33,14011198479,ALG1,7.53,13.97,Admis/Dettes
34,14011198484,ALG1,10.02,13.25,Admis/Session1
35,14011198545,ALG1,7.38,13.28,Admis/Dettes
36,14011198548,ALG1,7.05,13.19,Admis/Session2
