,id_student,id_course,average,bac_average,status
0,14011097122,Algé2,7.38,14.38,Admis/Session1
1,14011097185,Algé2,8.55,14.71,Admis/Session1
2,14011097193,Algé2,7.52,14.13,Admis/Session1
3,14011097248,Algé2,12.88,14.68,Admis/Session1
4,14011097256,Algé2,6.4,14.35,Admis/Session1
5,14011097266,Algé2,14.32,14.8,Admis/Dettes
6,14011097330,Algé2,8.7,14.15,Admis/Session1
7,14011097354,Algé2,11.68,14.04,Admis/Session1
8,14011097368,Algé2,8.7,14.39,Admis/Session1
9,14011097527,Algé2,10.06,14.75,Admis/Session1
10,14011097549,Algé2,8.87,14.42,Admis/Session1
11,14011097631,Algé2,9.7,14.15,Admis/Session1
