,id_student,id_course,average,bac_average,status
0,14011198194,Aly2,9.19,13.08,Admis/Session1
1,14011198217,Aly2,4.74,13.54,Admis/Dettes
2,14011198259,Aly2,7.38,13.64,Admis/Session2
3,14011198335,Aly2,6.72,13.66,Admis/Session1
4,14011198436,Aly2,7.37,13.57,Admis/Dettes
5,14011298617,Aly2,10.04,13.12,Admis/Dettes
6,14011298637,Aly2,6.74,13.54,Admis/Session1
7,14011298676,Aly2,16.34,13.21,Admis/Session1
8,14011298682,Aly2,8.72,13.64,Admis/Session1
9,14011298686,Aly2,14.81,13.95,Admis/Session1
10,14011298696,Aly2,8.21,13.42,Admis/Session2
11,14011298705,Aly2,12.77,13.02,Admis/Session1
12,14011298711,Aly2,10.89,13.04,Admis/Session1
13,14011298770,Aly2,12.16,13.01,Admis/Session2
14,14011298798,Aly2,6.71,13.37,Admis/Session1
15,14011298838,Aly2,6.53,13.4,Admis/Session1
16,14011298895,Aly2,12.36,13.09,Admis/Session1
17,14011298979,Aly2,7.72,13.75,Admis/Session1
18,14011299038,Aly2,13.0,13.87,Admis/Session2
19,14011299066,Aly2,5.07,13.5,Admis/Session2
20,14011299116,Aly2,9.35,13.49,Admis/Session1
21,14011299136,Aly2,10.55,13.57,Admis/Session1
22,14011299173,Aly2,11.51,13.22,Admis/Session2
23,14011299174,Aly2,9.38,13.15,Admis/Session1
