,id_student,id_course,average,bac_average,status
0,14010996899,Analy,10.2,12.15,Admis/Session2
1,14011097150,Analy,5.71,12.13,Ajourné
2,14011097152,Analy,9.04,12.21,Admis/Session1
3,14011097276,Analy,8.88,12.21,Ajourné
4,14011097292,Analy,11.36,12.92,Admis/Session1
5,14011097372,Analy,10.68,12.4,Admis/Session1
6,14011097420,Analy,13.17,12.48,Admis/Session1
7,14011097422,Analy,9.36,12.59,Admis/Session1
8,14011097436,Analy,7.71,12.76,Admis/Session1
9,14011097441,Analy,10.69,12.78,Admis/Session1
10,14011097456,Analy,9.53,12.21,Admis/Session2
11,14011097471,Analy,9.69,12.49,Admis/Session2
12,14011097478,Analy,9.7,12.42,Ajourné
13,14011097496,Analy,9.38,12.55,Admis/Session2
14,14011097505,Analy,12.33,12.7,Admis/Session1
15,14011097564,Analy,10.68,12.85,Admis/Session1
16,14011097593,Analy,12.03,12.79,Admis/Session1
17,14011097599,Analy,11.68,12.75,Admis/Session2
18,14011097634,Analy,9.04,12.78,Ajourné
