,id_student,id_course,average,bac_average,status
0,14011197816,CF,6.39,14.54,Admis/Session1
1,14011197923,CF,14.53,14.27,Admis/Session1
2,14011198041,CF,11.03,14.19,Admis/Session1
3,14011198101,CF,14.35,14.77,Admis/Session1
4,14011198103,CF,10.39,14.07,Admis/Session1
5,14011198136,CF,6.08,14.7,Admis/Session1
6,14011198216,CF,12.06,14.09,Admis/Session1
7,14011198466,CF,9.02,14.2,Admis/Session1
8,14011198477,CF,7.7,14.6,Admis/Session1
9,14011198487,CF,6.04,14.22,Admis/Dettes
10,14011198497,CF,15.02,14.15,Admis/Session1
11,14011198515,CF,5.56,14.15,Admis/Session2
12,14011198581,CF,9.02,14.25,Admis/Session1
