,id_student,id_course,average,bac_average,status
0,14011097102,Chim,12.69,10.62,Admis/Dettes
1,14011097242,Chim,12.0,10.25,Admis/Session1
2,14011097416,Chim,10.02,10.88,Ajourné
3,14011097462,Chim,9.69,10.93,Admis/Session1
4,14011097464,Chim,7.7,10.52,Ajourné
5,14011097484,Chim,15.96,10.74,Admis/Session2
6,14011097494,Chim,15.98,10.06,Admis/Session1
7,14011097543,Chim,10.68,10.88,Admis/Dettes
8,14011097551,Chim,9.55,10.28,Admis/Session1
9,14011097571,Chim,7.04,10.0,Ajourné
10,14011097609,Chim,9.86,10.8,Ajourné
