,id_student,id_course,average,bac_average,status
0,14011097122,Elect,11.7,14.38,Admis/Session1
1,14011097185,Elect,16.68,14.71,Admis/Session1
2,14011097193,Elect,16.64,14.13,Admis/Session1
3,14011097248,Elect,15.32,14.68,Admis/Session1
4,14011097256,Elect,11.03,14.35,Admis/Session1
5,14011097266,Elect,13.01,14.8,Admis/Dettes
6,14011097330,Elect,13.0,14.15,Admis/Session1
7,14011097354,Elect,10.71,14.04,Admis/Session1
8,14011097368,Elect,14.66,14.39,Admis/Session1
9,14011097527,Elect,15.37,14.75,Admis/Session1
10,14011097549,Elect,8.05,14.42,Admis/Session1
11,14011097631,Elect,16.64,14.15,Admis/Session1
