,id_student,id_course,average,bac_average,status
0,14011097203,Mecaq,11.52,13.34,Admis/Session1
1,14011097264,Mecaq,6.71,13.42,Admis/Session2
2,14011097544,Mecaq,5.08,13.71,Admis/Dettes
3,14011197876,Mecaq,6.56,13.6,Admis/Session1
4,14011197877,Mecaq,10.38,13.28,Admis/Session1
5,14011197918,Mecaq,11.34,13.81,Admis/Session1
6,14011197922,Mecaq,10.04,13.39,Admis/Session1
7,14011197939,Mecaq,12.69,13.85,Admis/Session1
8,14011197965,Mecaq,10.38,13.71,Admis/Dettes
9,14011197979,Mecaq,10.38,13.95,Admis/Session1
10,14011198067,Mecaq,6.72,13.89,Admis/Session1
11,14011198153,Mecaq,11.66,13.43,Admis/Dettes
12,14011198176,Mecaq,7.23,13.62,Admis/Session1
13,14011198194,Mecaq,6.72,13.08,Ajourné
14,14011198217,Mecaq,7.36,13.54,Ajourné
15,14011198242,Mecaq,7.36,13.25,Admis/Session1
16,14011198256,Mecaq,8.88,13.96,Admis/Session1
17,14011198259,Mecaq,3.4,13.64,Ajourné
18,14011198260,Mecaq,10.36,13.3,Admis/Session1
19,14011198335,Mecaq,7.27,13.66,Ajourné
20,14011198357,Mecaq,10.0,13.4,Admis/Session2
21,14011198386,Mecaq,9.53,13.37,Admis/Session1
22,14011198409,Mecaq,7.36,13.71,Admis/Session2
23,14011198412,Mecaq,11.04,13.38,Admis/Session1
24,14011198427,Mecaq,8.68,13.07,Admis/Dettes
25,14011198435,Mecaq,6.38,13.54,Admis/Session1
26,14011198436,Mecaq,8.86,13.57,Ajourné
27,14011198438,Mecaq,7.04,13.33,Admis/Dettes
28,14011198458,Mecaq,7.74,13.55,Admis/Session1
29,14011198465,Mecaq,5.75,13.17,Admis/Session1
30,14011198467,Mecaq,9.72,13.52,Admis/Dettes
31,14011198475,Mecaq,5.91,13.04,Admis/Session1
32,14011198476,Mecaq,8.22,13.8,Admis/Session1
33,14011198479,Mecaq,5.91,13.97,Admis/Dettes
34,14011198484,Mecaq,6.08,13.25,Admis/Session1
35,14011198545,Mecaq,9.36,13.28,Admis/Dettes
36,14011198548,Mecaq,6.74,13.19,Admis/Session2
