,id_student,id_course,average,bac_average,status
0,14011097203,STRM,15.0,13.34,Admis/Session1
1,14011097264,STRM,9.36,13.42,Admis/Session2
2,14011097544,STRM,7.83,13.71,Admis/Dettes
3,14011197876,STRM,13.7,13.6,Admis/Session1
4,14011197877,STRM,10.85,13.28,Admis/Session1
5,14011197918,STRM,12.87,13.81,Admis/Session1
6,14011197922,STRM,11.38,13.39,Admis/Session1
7,14011197939,STRM,13.36,13.85,Admis/Session1
8,14011197965,STRM,12.01,13.71,Admis/Dettes
9,14011197979,STRM,11.66,13.95,Admis/Session1
10,14011198067,STRM,13.36,13.89,Admis/Session1
11,14011198153,STRM,10.33,13.43,Admis/Dettes
12,14011198176,STRM,5.7,13.62,Admis/Session1
13,14011198194,STRM,12.37,13.08,Ajourné
14,14011198217,STRM,6.7,13.54,Ajourné
15,14011198242,STRM,7.57,13.25,Admis/Session1
16,14011198256,STRM,6.72,13.96,Admis/Session1
17,14011198259,STRM,11.7,13.64,Ajourné
18,14011198260,STRM,10.86,13.3,Admis/Session1
19,14011198335,STRM,8.71,13.66,Ajourné
20,14011198357,STRM,7.64,13.4,Admis/Session2
21,14011198386,STRM,6.4,13.37,Admis/Session1
22,14011198409,STRM,10.38,13.71,Admis/Session2
23,14011198412,STRM,11.53,13.38,Admis/Session1
24,14011198427,STRM,10.02,13.07,Admis/Dettes
25,14011198435,STRM,13.68,13.54,Admis/Session1
26,14011198436,STRM,7.34,13.57,Ajourné
27,14011198438,STRM,9.53,13.33,Admis/Dettes
28,14011198458,STRM,8.72,13.55,Admis/Session1
29,14011198465,STRM,13.04,13.17,Admis/Session1
30,14011198467,STRM,9.41,13.52,Admis/Dettes
31,14011198475,STRM,11.69,13.04,Admis/Session1
32,14011198476,STRM,13.51,13.8,Admis/Session1
33,14011198479,STRM,11.16,13.97,Admis/Dettes
34,14011198484,STRM,10.87,13.25,Admis/Session1
35,14011198545,STRM,13.17,13.28,Admis/Dettes
36,14011198548,STRM,11.53,13.19,Admis/Session2
