,id_student,id_course,average,bac_average,status
0,14011097478,StatD,6.02,12.42,Admis/Session1
1,14011197960,StatD,9.87,12.98,Admis/Session2
2,14011198053,StatD,11.17,12.44,Admis/Session1
3,14011198087,StatD,10.04,12.13,Admis/Dettes
4,14011198125,StatD,12.68,12.2,Admis/Dettes
5,14011198166,StatD,10.0,12.25,Admis/Session1
6,14011198334,StatD,8.36,12.44,Admis/Session2
7,14011198576,StatD,10.21,12.23,Admis/Dettes
8,14011298615,StatD,8.7,12.13,Admis/Session2
9,14011298631,StatD,10.38,12.67,Admis/Session1
10,14011298667,StatD,8.7,12.45,Admis/Session1
11,14011298672,StatD,12.36,12.94,Admis/Session2
12,14011298683,StatD,10.34,12.6,Admis/Dettes
13,14011298688,StatD,10.04,12.82,Admis/Dettes
14,14011298704,StatD,9.02,12.64,Admis/Session1
15,14011298763,StatD,6.06,12.79,Admis/Dettes
16,14011298766,StatD,10.08,12.19,Admis/Session2
17,14011298787,StatD,10.04,12.34,Admis/Session1
18,14011298818,StatD,10.68,12.48,Admis/Dettes
19,14011298879,StatD,12.38,12.35,Admis/Dettes
20,14011298925,StatD,12.69,12.57,Admis/Session1
21,14011298927,StatD,11.87,12.7,Admis/Session1
22,14011298935,StatD,14.18,12.82,Admis/Session1
23,14011299024,StatD,17.65,12.68,Admis/Session1
24,14011299097,StatD,6.68,12.17,Admis/Dettes
25,14011299190,StatD,11.67,12.35,Admis/Dettes
26,14011299200,StatD,6.73,12.77,Admis/Dettes
27,14011299212,StatD,11.69,12.12,Admis/Dettes
28,14011299215,StatD,7.57,12.13,Admis/Dettes
29,14011299234,StatD,10.0,12.91,Admis/Dettes
