,id_student,id_course,average,bac_average,status
0,14011198043,TEC1,10.0,10.78,Admis/Dettes
1,14011198397,TEC1,9.0,10.99,Admis/Session2
2,14011198494,TEC1,6.0,10.97,Admis/Dettes
3,14011198524,TEC1,8.0,10.97,Admis/Session1
4,14011298627,TEC1,10.0,10.85,Admis/Session1
5,14011298645,TEC1,6.0,10.36,Admis/Session2
6,14011298662,TEC1,10.0,10.69,Admis/Session1
7,14011298668,TEC1,16.0,10.6,Admis/Session2
8,14011298687,TEC1,13.0,10.55,Admis/Session2
9,14011298700,TEC1,16.0,10.39,Admis/Session1
10,14011298706,TEC1,12.0,10.19,Admis/Session2
11,14011298710,TEC1,10.0,10.18,Admis/Session1
12,14011298764,TEC1,12.0,10.38,Admis/Session1
13,14011298807,TEC1,5.0,10.63,Admis/Dettes
14,14011298861,TEC1,14.0,10.88,Admis/Dettes
15,14011299180,TEC1,10.0,10.0,Admis/Session2
