,id_student,id_course,average,bac_average,status
0,14011097203,Tecw,18.0,13.34,Admis/Session1
1,14011097264,Tecw,13.0,13.42,Admis/Session2
2,14011097544,Tecw,10.0,13.71,Admis/Dettes
3,14011197876,Tecw,16.0,13.6,Admis/Session1
4,14011197877,Tecw,18.0,13.28,Admis/Session1
5,14011197918,Tecw,20.0,13.81,Admis/Session1
6,14011197922,Tecw,15.0,13.39,Admis/Session1
7,14011197939,Tecw,20.0,13.85,Admis/Session1
8,14011197965,Tecw,14.0,13.71,Admis/Dettes
9,14011197979,Tecw,16.5,13.95,Admis/Session1
10,14011198067,Tecw,16.5,13.89,Admis/Session1
11,14011198153,Tecw,15.0,13.43,Admis/Dettes
12,14011198176,Tecw,16.0,13.62,Admis/Session1
13,14011198194,Tecw,15.0,13.08,Ajourné
14,14011198217,Tecw,4.0,13.54,Ajourné
15,14011198242,Tecw,19.0,13.25,Admis/Session1
16,14011198256,Tecw,13.0,13.96,Admis/Session1
17,14011198259,Tecw,17.5,13.64,Ajourné
18,14011198260,Tecw,14.5,13.3,Admis/Session1
19,14011198335,Tecw,19.0,13.66,Ajourné
20,14011198357,Tecw,14.5,13.4,Admis/Session2
21,14011198386,Tecw,19.0,13.37,Admis/Session1
22,14011198409,Tecw,12.0,13.71,Admis/Session2
23,14011198412,Tecw,12.0,13.38,Admis/Session1
24,14011198427,Tecw,14.5,13.07,Admis/Dettes
25,14011198435,Tecw,18.5,13.54,Admis/Session1
26,14011198436,Tecw,16.0,13.57,Ajourné
27,14011198438,Tecw,18.5,13.33,Admis/Dettes
28,14011198458,Tecw,11.5,13.55,Admis/Session1
29,14011198465,Tecw,12.5,13.17,Admis/Session1
30,14011198467,Tecw,16.5,13.52,Admis/Dettes
31,14011198475,Tecw,14.5,13.04,Admis/Session1
32,14011198476,Tecw,16.0,13.8,Admis/Session1
33,14011198479,Tecw,15.0,13.97,Admis/Dettes
34,14011198484,Tecw,13.5,13.25,Admis/Session1
35,14011198545,Tecw,12.0,13.28,Admis/Dettes
36,14011198548,Tecw,11.0,13.19,Admis/Session2
