,id_student,id_course,average,bac_average,status
0,14010996922,info,6.5,11.11,Ajourné
1,14011097177,info,8.5,11.37,Ajourné
2,14011097195,info,8.25,11.32,Admis/Session2
3,14011097274,info,8.5,11.42,Ajourné
4,14011097290,info,10.5,11.38,Admis/Session2
5,14011097377,info,9.25,11.04,Admis/Dettes
6,14011097400,info,13.75,11.73,Admis/Session2
7,14011097401,info,6.88,11.21,Admis/Session2
8,14011097402,info,13.25,11.21,Admis/Session2
9,14011097458,info,8.13,11.63,Admis/Session1
10,14011097473,info,7.88,11.7,Admis/Dettes
11,14011097482,info,13.75,11.38,Admis/Session1
12,14011097486,info,9.88,11.5,Admis/Dettes
13,14011097534,info,8.25,11.39,Admis/Dettes
14,14011097588,info,10.25,11.68,Ajourné
15,14011097615,info,7.63,11.33,Admis/Dettes
16,14011097629,info,9.88,11.84,Admis/Session1
17,14011097632,info,8.38,11.28,Admis/Session2
